날짜,요일,공휴일,날씨,유료합계,어른,청소년,어린이,외국인,단체,무료합계,총계
2016-05-31,화,0,,"4,643","3,920",443,280,188,"1,790","4,126","8,769"
2016-06-01,수,0,,"3,946","3,592",191,163,170,"1,093","3,813","7,759"
2016-06-02,목,0,,"7,097","4,872",697,"1,528",77,"4,663","4,195","11,292"
2016-06-03,금,0,구름 조금,"9,236","4,168","4,882",186,163,"5,631","3,641","12,877"
2016-06-04,토,1,,"26,790","23,308",727,"2,755",397,389,"7,012","33,802"
2016-06-05,일,1,구름 조금,"33,504","28,943","1,079","3,482",729,190,"8,239","41,743"
2016-06-06,월,1,,"31,030","26,358","1,423","3,249",498,392,"8,241","39,271"
2016-06-07,화,0,흐림,"4,116","3,086",424,606,178,"1,378","3,217","7,333"
2016-06-08,수,0,구름 많음,"2,868","2,743",40,85,96,"1,023","3,303","6,171"
2016-06-09,목,0,구름 조금,"2,569","2,231",286,52,57,993,"2,945","5,514"
2016-06-10,금,0,,"4,809","2,451","1,705",653,161,"3,476","3,201","8,010"
2016-06-11,토,1,,"12,106","10,669",288,"1,149",285,996,"3,678","15,784"
2016-06-12,일,1,,"10,813","9,668",243,902,339,157,"3,293","14,106"
2016-06-13,월,0,,"1,967","1,808",6,153,36,522,"1,917","3,884"
2016-06-14,화,0,,"1,512","1,355",8,149,88,466,"2,135","3,647"
2016-06-15,수,0,,268,256,3,9,42,76,578,846
2016-06-16,목,0,,"2,560","2,417",21,122,66,"1,571","2,012","4,572"
2016-06-17,금,0,,"2,166","1,900",35,231,87,843,"2,313","4,479"
2016-06-18,토,1,,"10,133","8,888",169,"1,076",191,375,"3,805","13,938"
2016-06-19,일,1,,"9,586","8,472",165,949,311,32,"3,353","12,939"
2016-06-20,월,0,,"2,865","2,239",28,598,91,94,"1,526","4,391"
2016-06-21,화,0,,"1,230","1,181",16,33,105,305,"1,537","2,767"
2016-06-22,수,0,,579,508,43,28,51,104,"1,031","1,610"
2016-06-23,목,0,,"1,792","1,572",22,198,48,472,"1,872","3,664"
2016-06-24,금,0,,668,629,6,33,45,110,837,"1,505"
2016-06-25,토,1,구름 많음,"10,213","9,060",127,"1,026",141,123,"3,586","13,799"
2016-06-26,일,1,,"9,464","8,405",116,943,242,65,"3,788","13,252"
2016-06-27,월,0,,"1,713","1,603",42,68,72,90,"1,325","3,038"
2016-06-28,화,0,,"1,420","1,283",51,86,146,168,"1,198","2,618"
2016-06-29,수,0,구름 많음,"1,318","1,224",21,73,48,45,"1,120","2,438"
2016-06-30,목,0,비,"1,202","1,120",29,53,62,185,"1,155","2,357"
2016-07-01,금,0,비,"2,000","1,182",16,802,57,"1,675",712,"2,712"
2016-07-02,토,1,,"6,456","5,707",71,678,170,0,"2,670","9,126"
2016-07-03,일,1,흐림,"8,052","7,175",61,816,253,0,"2,791","10,843"
2016-07-04,월,0,비,205,179,5,21,65,0,472,677
2016-07-05,화,0,,73,27,45,1,4,35,182,255
2016-07-06,수,0,,984,807,92,85,31,0,859,"1,843"
2016-07-07,목,0,비,"1,044",851,64,129,106,103,991,"2,035"
2016-07-08,금,0,구름 조금,"1,645","1,281",286,78,98,215,"1,453","3,098"
2016-07-09,토,1,구름 조금,"3,526","3,066",166,294,187,71,"1,933","5,459"
2016-07-10,일,1,구름 많음,"3,137","2,700",155,282,140,0,"1,551","4,688"
2016-07-11,월,0,구름 많음,721,643,25,53,56,46,866,"1,587"
2016-07-12,화,0,비,"10,735",493,"10,208",34,81,"10,162",953,"11,688"
2016-07-13,수,0,구름 많음,"3,116",914,"2,134",68,53,"2,169",941,"4,057"
2016-07-14,목,0,구름 많음,"1,098",787,243,68,76,245,999,"2,097"
2016-07-15,금,0,흐림,"2,188",904,105,"1,179",70,30,924,"3,112"
2016-07-16,토,1,비,411,356,11,44,20,0,591,"1,002"
2016-07-17,일,1,흐림,"7,120","6,192",178,750,242,0,"2,398","9,518"
2016-07-18,월,0,구름 많음,"1,672","1,502",49,121,125,67,"1,181","2,853"
2016-07-19,화,0,구름 조금,"1,147",946,112,89,182,119,"1,120","2,267"
2016-07-20,수,0,구름 많음,821,674,57,90,108,0,887,"1,708"
2016-07-21,목,0,구름 많음,925,745,90,90,63,0,914,"1,839"
2016-07-22,금,0,구름 많음,677,547,78,52,78,0,723,"1,400"
2016-07-23,토,1,흐림,"2,744","2,367",130,247,211,30,"1,507","4,251"
2016-07-24,일,1,비,"3,152","2,654",152,346,251,0,"1,476","4,628"
2016-07-25,월,0,구름 많음,"1,306","1,011",99,196,83,33,726,"2,032"
2016-07-26,화,0,구름 많음,"1,023",821,82,120,17,0,837,"1,860"
2016-07-27,수,0,비,816,623,58,135,51,0,646,"1,462"
2016-07-28,목,0,구름 많음,"1,523","1,192",105,226,135,0,860,"2,383"
2016-07-29,금,0,비,"4,763","1,164","3,048",551,74,"3,689",477,"5,240"
2016-07-30,토,1,비,"4,445","3,708",206,531,259,64,"1,647","6,092"
2016-07-31,일,1,구름 많음,"3,836","3,295",164,377,378,115,"1,319","5,155"
2016-08-01,월,0,비,"3,255","2,623",180,452,374,30,"1,195","4,450"
2016-08-02,화,0,흐림,"3,117","2,495",155,467,286,129,"1,242","4,359"
2016-08-03,수,0,구름 많음,"1,919","1,566",105,248,205,0,"1,099","3,018"
2016-08-04,목,0,구름 조금,"1,148",934,77,137,98,0,535,"1,683"
2016-08-05,금,0,구름 조금,"1,219",937,113,169,57,0,547,"1,766"
2016-08-06,토,1,구름 많음,"2,027","1,632",193,202,180,106,"1,002","3,029"
2016-08-07,일,1,구름 많음,"1,690","1,411",99,180,127,0,896,"2,586"
2016-08-08,월,0,구름 많음,657,489,74,94,62,0,461,"1,118"
2016-08-09,화,0,구름 많음,637,474,57,106,122,0,551,"1,188"
2016-08-10,수,0,구름 많음,628,475,56,97,68,0,570,"1,198"
2016-08-11,목,0,구름 조금,642,471,62,109,89,0,464,"1,106"
2016-08-12,금,0,구름 조금,715,544,69,102,48,0,507,"1,222"
2016-08-13,토,1,구름 많음,"2,176","1,760",107,309,128,76,"1,001","3,177"
2016-08-14,일,1,비,"4,961","4,327",171,463,142,"1,062","1,198","6,159"
2016-08-15,월,1,구름 많음,"3,300","2,675",243,382,170,0,956,"4,256"
2016-08-16,화,0,구름 많음,910,704,64,142,68,96,518,"1,428"
2016-08-17,수,0,구름 조금,922,548,242,132,59,243,532,"1,454"
2016-08-18,목,0,구름 많음,"10,774",599,"10,023",152,91,"10,038",585,"11,359"
2016-08-19,금,0,구름 많음,"4,702","1,150","3,061",491,56,"3,810",643,"5,345"
2016-08-20,토,1,구름 많음,"4,039","3,421",133,485,168,30,"1,429","5,468"
2016-08-21,일,1,구름 많음,"3,086","2,660",94,332,72,0,"1,343","4,429"
2016-08-22,월,0,구름 많음,592,516,15,61,65,0,496,"1,088"
2016-08-23,화,0,비,534,450,13,71,36,0,612,"1,146"
2016-08-24,수,0,구름 많음,623,518,44,61,62,0,713,"1,336"
2016-08-25,목,0,구름 많음,591,536,11,44,40,42,698,"1,289"
2016-08-26,금,0,구름 많음,"1,532","1,442",10,80,109,0,"1,043","2,575"
2016-08-27,토,1,구름 조금,"15,075","13,366",242,"1,467",145,139,"3,960","19,035"
2016-08-28,일,1,구름 많음,"13,758","12,114",231,"1,413",166,0,"4,460","18,218"
2016-08-29,월,0,구름 많음,"2,472","2,321",44,107,92,0,"1,164","3,636"
2016-08-30,화,0,흐림,"2,102","1,988",39,75,55,0,"1,280","3,382"
2016-08-31,수,0,비,"20,396",44,75,"20,277",0,75,294,"20,690"
2016-09-01,목,0,비,"1,354","1,224",69,61,35,258,"1,371","2,725"
2016-09-02,금,0,구름 많음,"1,809","1,501",211,97,50,226,"1,075","2,884"
2016-09-03,토,1,흐림,"14,477","12,693",233,"1,551",153,30,"5,503","19,980"
2016-09-04,일,1,구름 많음,"15,554","13,769",223,"1,562",155,0,"4,261","19,815"
2016-09-05,월,0,구름 많음,"1,693","1,480",142,71,140,161,"1,091","2,784"
2016-09-06,화,0,구름 많음,"1,347","1,191",131,25,62,258,"1,459","2,806"
2016-09-07,수,0,구름 많음,"1,426","1,176",25,225,42,489,"1,142","2,568"
2016-09-08,목,0,비,786,669,7,110,37,185,931,"1,717"
2016-09-09,금,0,구름 많음,"7,616","1,171","6,242",203,13,"6,489","1,249","8,865"
2016-09-10,토,1,구름 많음,"11,978","10,518",260,"1,200",86,60,"4,088","16,066"
2016-09-11,일,1,구름 많음,"14,362","12,597",254,"1,511",156,95,"5,156","19,518"
2016-09-12,월,0,구름 많음,"2,104","1,672",90,342,34,92,872,"2,976"
2016-09-13,화,0,구름 많음,"3,060","2,084",729,247,109,670,"1,303","4,363"
2016-09-14,수,1,비,"9,390","8,214",214,962,407,38,"2,322","11,712"
2016-09-15,목,1,구름 조금,"14,638","12,931",400,"1,307",806,0,"3,303","17,941"
2016-09-16,금,1,구름 많음,"25,123","21,780",583,"2,760",862,30,"7,596","32,719"
2016-09-17,토,1,구름 많음,"15,467","13,452",311,"1,704",242,0,"4,453","19,920"
2016-09-18,일,1,구름 많음,"16,059","14,286",298,"1,475",253,0,"5,501","21,560"
2016-09-19,월,0,구름 많음,"2,046","1,899",35,112,24,34,"1,314","3,360"
2016-09-20,화,0,맑음,"2,211","1,760",41,410,50,867,"2,236","4,447"
2016-09-21,수,0,구름 많음,"1,679","1,566",9,104,33,400,"2,146","3,825"
2016-09-22,목,0,구름 조금,"2,098","1,696",6,396,58,781,"2,467","4,565"
2016-09-23,금,0,맑음,"2,677","2,132",160,385,62,"1,386","3,032","5,709"
2016-09-24,토,1,구름 조금,"16,891","14,652",216,"2,023",153,586,"6,656","23,547"
2016-09-25,일,1,구름 많음,"16,647","14,608",277,"1,762",69,237,"4,513","21,160"
2016-09-26,월,0,구름 많음,"2,048","1,807",25,216,35,316,"1,665","3,713"
2016-09-27,화,0,비,610,179,0,431,12,449,873,"1,483"
2016-09-28,수,0,구름 많음,"1,343","1,068",40,235,40,"1,118","2,683","4,026"
2016-09-29,목,0,구름 많음,"2,462","1,919",152,391,50,"1,844","3,124","5,586"
2016-09-30,금,0,구름 많음,"4,248","2,878",534,836,82,"3,097","3,624","7,872"
2016-10-01,토,1,구름 많음,"20,582","17,842",294,"2,446",112,64,"7,112","27,694"
2016-10-02,일,1,비,"1,057",866,36,155,18,0,800,"1,857"
2016-10-03,월,1,구름 조금,"22,425","19,036",340,"3,049",196,326,"8,334","30,759"
2016-10-04,화,0,맑음,"14,651","3,315","10,053","1,283",124,"10,747","2,574","17,225"
2016-10-05,수,0,구름 조금,"3,210","2,565",167,478,49,"1,839","1,694","4,904"
2016-10-06,목,0,구름 조금,"5,279","2,363",949,"1,967",47,"4,179","3,499","8,778"
2016-10-07,금,0,구름 많음,"4,705","2,415","1,543",747,82,"3,551","3,960","8,665"
2016-10-08,토,1,흐림,"12,426","10,773",342,"1,311",162,"1,013","4,062","16,488"
2016-10-09,일,1,맑음,"17,453","15,187",416,"1,850",174,131,"5,593","23,046"
2016-10-10,월,0,구름 조금,"2,942","2,377",121,444,120,481,"1,671","4,613"
2016-10-11,화,0,,"5,632","2,100","1,955","1,577",99,"4,820","3,762","9,394"
2016-10-12,수,0,구름 조금,"3,085","2,254",343,488,61,"1,635","2,800","5,885"
2016-10-13,목,0,구름 조금,"4,628","2,691","1,232",705,56,"3,421","4,050","8,678"
2016-10-14,금,0,맑음,"7,026","3,276","3,011",739,70,"4,956","4,857","11,883"
2016-10-15,토,1,구름 조금,"17,467","15,081",448,"1,938",154,"2,135","6,117","23,584"
2016-10-16,일,1,흐림,"6,207","5,275",186,746,119,246,"2,299","8,506"
2016-10-17,월,0,구름 많음,"3,050","2,484",67,499,116,580,"2,024","5,074"
2016-10-18,화,0,구름 조금,"4,610","2,653","1,129",828,73,"3,100","3,614","8,224"
2016-10-19,수,0,,"5,019","2,429","2,005",585,68,"3,956","3,662","8,681"
2016-10-20,목,0,,"4,826","2,668","1,516",642,37,"3,128","3,269","8,095"
2016-10-21,금,0,구름 많음,"7,154","3,167","3,299",688,42,"5,695","4,145","11,299"
2016-10-22,토,1,흐림,"21,903","18,212",762,"2,929",161,"3,984","6,398","28,301"
2016-10-23,일,1,구름 많음,"11,437","8,950",539,"1,948",181,"2,988","2,990","14,427"
2016-10-24,월,0,구름 조금,"6,374","3,075","3,004",295,75,"3,234","2,003","8,377"
2016-10-25,화,0,구름 많음,"1,818",867,868,83,23,"1,119",773,"2,591"
2016-10-26,수,0,구름 많음,"3,228","2,155",790,283,71,"2,438","3,656","6,884"
2016-10-27,목,0,구름 많음,"4,293","3,290",487,516,55,"2,209","3,008","7,301"
