Country ID,Country,"Time Series - CO₂ total emissions  without LULUCF, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CO2 emissions, latest year",% change since 1990,"CO2 emissions 
per capita, 
latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg
308,Grenada,...,...,...,...,135.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,135.00,...,1.36
320,Guatemala,"4,245.07",...,...,...,"10,116.47",...,...,...,...,...,"10,578.65",...,...,...,...,"12,553.74",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,12553.74,195.73,0.96
324,Guinea,...,...,...,...,"1,580.49",...,...,...,...,...,"1,960.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1960.00,...,0.24
624,Guinea-Bissau,...,...,...,...,178.61,...,...,...,...,...,...,...,...,...,...,...,156.81,...,...,...,"2,450.67",...,...,...,...,...,...,...,...,2010,2450.67,...,1.61
328,Guyana,"1,439.00","1,439.00","1,439.00","1,439.00","1,439.00","1,465.00","1,534.00","1,680.00","1,769.00","1,718.00","1,688.00","2,094.00","1,657.00","1,657.00","1,657.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,1657.00,15.15,2.22
332,Haiti,...,...,...,...,189.10,923.69,"1,050.91","1,310.79","1,347.44","1,545.77","1,447.66",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,1447.66,...,0.17
340,Honduras,...,...,...,...,...,"4,085.25",...,...,...,...,"4,162.45",...,...,...,...,"7,201.80",...,...,...,...,...,...,...,...,...,"9,902.61",...,...,...,2015,9902.61,...,1.09
348,Hungary,"73,464.85","69,784.52","62,415.94","63,632.76","61,973.51","61,690.77","63,257.52","61,813.14","61,415.00","61,911.60","58,608.27","60,238.80","59,197.00","61,981.47","60,489.92","60,606.53","59,915.38","58,688.63","57,530.82","51,774.97","52,123.68","50,322.15","46,776.68","43,704.81","43,862.71","46,627.61","47,395.71","49,684.85","49,628.49",2018,49628.49,-32.45,5.11
352,Iceland,"2,247.80","2,128.41","2,274.27","2,432.16","2,373.30","2,476.70","2,532.04","2,627.51","2,647.86","2,853.95","2,946.47","2,875.24","3,000.52","2,994.55","3,116.89","2,985.97","3,164.40","3,512.10","3,824.94","3,740.18","3,660.12","3,510.64","3,502.89","3,492.77","3,469.68","3,545.26","3,497.54","3,614.87","3,674.53",2018,3674.53,63.47,10.91
356,India,...,...,...,...,"7,79,348.00",...,...,...,...,...,"10,24,772.86",...,...,...,...,...,...,...,...,...,"15,74,362.16",...,...,...,...,...,...,...,...,2010,1574362.16,...,1.28
360,Indonesia,"1,42,688.19","1,55,100.40","1,65,505.55","1,75,681.85","1,89,146.31",...,...,...,...,...,"2,89,527.15",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,289527.15,102.91,1.37
364,Iran (Islamic Republic of),...,...,...,...,"3,10,645.33",...,...,...,...,...,"3,65,908.35",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,365908.35,...,5.58
368,Iraq,...,...,...,...,...,...,...,"60,379.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997,60379.00,...,2.82
372,Ireland,"32,944.33","33,674.01","33,494.93","33,716.18","34,838.15","35,852.67","37,469.15","38,805.24","40,708.85","42,440.08","45,249.00","47,607.42","46,081.98","45,683.97","46,166.93","48,155.54","47,603.94","47,665.13","47,366.25","42,179.54","41,747.93","38,052.22","38,209.59","37,235.30","36,785.33","38,545.33","40,029.84","38,910.19","38,803.39",2018,38803.39,17.78,8.05
